"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Austria","AUT","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159058959735.975","175028003699.209","211313160223.643","235876302206.07","185637475393.26","197801804471.37","229323222520.53","218171494112.034","228883573008.928","236025285697.127","202327953729.248","205930623371.373","224088155919.917","",
"Azerbaijan","AZE","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","784709000","792925000","1150053000","1009435000","1282021000","2118103000","2368762000","2655143000","3038268000","4123270000","8139524000","13714380000","22355216000","31889127000","22759265000","28234775000","37038851000","36685877000","35912069000","32556819000","20030038000","17578801000","19840498000","",
"Burundi","BDI","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","126803421.141006","140876301.865899","110250707.124388","136279782.04352","108560924.369748","89439506.7795907","118614366.037984","94426059.5159606","88503995.3867699","95578093.306288","129337457.333614","50933673.9187879","92701923.5090027","68482223.7814036","59424642.3422424","53027631.5667755","44386285.3564346","38527028.8539966","44835399.3090835","64258424.9250613","95594381.2300029","93167621.5882884","89631590.1707505","152972423.249737","118346013.283973","180727849.858285","235664407.568157","224157323.476642","221061620.730622","204052969.389467","178137758.869175","197538494.081243","236506697.20262","",
"Belgium","BEL","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195603629356.073","218351604687.311","261288090927.255","285320318752.412","307418057276.198","361771442732.307","412434789679.043","333833434728.815","369973500210.999","428967525679.536","407350140128.444","426074562148.52","435786838193.925","367197539644.715","388575241108.891","424458142240.913","",
"Benin","BEN","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","114999847.205499","144228368.664633","116689442.662701","161608802.725498","164236816.015217","176267911.664651","226240536.649071","454846131.502237","183365348.361751","182464437.726763","282142394.549971","335438290.061623","380299609.819607","457182310.538481","304546390.640018","288377450.203262","363861227.683231","519520775.364357","501126969.64494","540046994.451081","540072881.851037","614265785.665569","649018517.65836","540015315.056075","556604987.315828","598306187.015498","528383618.261351","520613441.612225","600015319.962296","713160660.984899","784188931.241486","771878274.596577","952527100.523458","1348294986.16884","1630217579.92951","1445501517.86237","1657993333.49441","1661963248.8541","1876559799.91622","2496261955.55523","3040837804.94136","2033003784.4558","2128168966.27423","","",
"Burkina Faso","BFA","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545191219.41973","667685224.070964","740570832.144412","983858484.305368","1053018712.60405","1889094303.28424","2814569557.63071","3289057293.75848","3158949582.43633","3207963251.93926","2752840797.37715","3269792307.57163","","",
"Bangladesh","BGD","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","467262944.983131","540578504.851808","650265105.979098","788218311.36623","1004709656.55105","1001600803.94111","986625599.105869","939854200.152464","1139222872.74447","1237344493.28888","1095032074.21785","1324819825.82589","1568667896.20014","1639169507.28231","2063969775.45561","2119707774.6452","2581218358.8652","3074085651.08407","3524210922.06134","4431482121.62782","4614125018.07103","5527210689.01858","5865374133.36452","6235944784.90486","7214255771.62451","6836930334.2454","6885020099.52858","7928264010.95381","9117424421.48158","11187053056.6165","12887525768.4106","14090342485.2356","17495074302.4983","17047455387.7291","21654463975.0679","26990086630.4744","27591054728.5413","31635199879.2911","33057235033.7095","34969256093.9049","37662675681.5369","39161181303.4362","",
"Bulgaria","BGR","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","9302000000","9336000000","9101000000","9888000000","10944000000","11360000000","9820000000","11455000000","10469000000","9491000000","6950000000","4136900000","5026700000","4897800000","5192000000","6776400000","6256200000","4819300000","5981308215.22457","5794774757.88308","6999800874.57993","7247750923.88513","7542363841.44917","10024378359.2237","13941336114.1205","16158234956.9208","20390736123.7392","26298044351.4027","30446201630.9215","23264921370.5227","25303890000","34031110000","32664150000","35980160000","36915650000","32040440000","34083040000","39409200000","",
"Bahrain","BHR","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","1359292038.83513","1719417175.34647","2104637942.89053","2256013633.27028","2812764095.22512","3766045400.71911","4538031926.96285","4262526607.08119","3486170222.03769","4017819153.38854","3808244680.85106","2963829787.23404","3293085106.38298","3313031914.89362","3640691489.3617","4119148936.17021","3924468085.10638","4008244680.85106","4375266083.50722","4435638710.76424","4797606755.13351","5368351527.84953","5020213233.26453","3994947206.94287","5221705114.14589","7176122542.28723","6606378405.85106","6956041298.3156","7980662118.35106","10336728457.2695","13396925785.8156","15662270455.5851","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","22946010638.2979","31409042553.1915","34102925531.9149","32069148936.1702","25652925531.9149","23782180851.0638","26732180851.0638","",
"Bahamas, The","BHS","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","667500000","683800000","807500000","917800000","1123100000","1119600000","1111000000","1224000000","1285000000","1492400000","1564000000","1590400000","1586000000","1695300000","1783600000","1583400000","1606200000","1651200000","1709100000","1767700000","1851500000","1887900000","1895900000","2207400000","2438020000","2221300000","2483859056.45","2481190000","2721540000","3060036585.259","3139620000","3401214138.25","3489746562.6","3061537000","3196008000","3327147000","3675394600","3626154000","3558745982.95","3416036338.575","3374172978.1306","3409412213.07961","",
